Reference Sequence	ARO Term	ARO Accession	Reference Model Type	Reference DB	Reference Allele Source	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Percent Coverage	Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Mate Pair Linkage	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
gb|Z50108.1|+|238-1768|ARO:3003026|fusH	fusH	3003026	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces lividans	1	0	1	1.96	30	60.00	*	1530	fusidic acid inactivation enzyme	fusidane antibiotic	antibiotic inactivation
gb|U36911.1|+|1429-2290|ARO:3000979|TEM-116	TEM-116	3000979	protein homolog model	CARD	CARD curation	no data	no data	Staphylococcus aureus	2	0	2	33.33	287	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|EU408350.1|-|11679-12585|ARO:3002488|LRA-9	LRA-9	3002488	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	15	0	15	36.98	335	22.40	*	906	subclass B3 LRA beta-lactamase	cephalosporin; penam	antibiotic inactivation
gb|U00096.1|+|3660413-3663527|ARO:3000796|mdtF	mdtF	3000796	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	10	0	10	18.05	562	39.20	*	3114	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux
gb|X63451.1|+|0-1653|ARO:3002828|srmB	srmB	3002828	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces ambofaciens	129	0	129	8.05	133	33.34	*	1653	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	macrolide antibiotic	antibiotic target protection
gb|JX028276.1|-|35585-36821|ARO:3002883|rgt1438	rgt1438	3002883	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces sp.	20	0	20	20.23	250	49.10	*	1236	rifampin glycosyltransferase	rifamycin antibiotic	antibiotic inactivation
gb|CT025801.2|+|0-3180|ARO:3000777|adeF	adeF	3000777	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	2	0	2	2.04	65	38.50	*	3180	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux
gb|D16099.1|+|409-1297|ARO:3001300|myrA	myrA	3001300	protein homolog model	CARD	CARD curation	no data	no data	Micromonospora griseorubida	2	0	2	9.46	84	47.50	*	888	non-erm 23S ribosomal RNA methyltransferase (G748)	macrolide antibiotic; lincosamide antibiotic	antibiotic target alteration
gb|AJ252200.1|+|81-1266|ARO:3003055|smeD	smeD	3003055	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	14	0	14	5.49	65	59.86	*	1185	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux
gb|AB015853.1|+|145-1315|ARO:3003034|mexX	mexX	3003034	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	1	0	1	2.56	30	27.00	*	1170	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|AF173226.1|-|1037-2441|ARO:3003067|smeS	smeS	3003067	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	2	0	2	2.21	31	60.00	*	1404	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux
gb|AF162694.1|+|1410-2442|ARO:3000368|vanC	vanC	3000368	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus gallinarum	2	0	2	3.49	36	58.50	*	1032	glycopeptide resistance gene cluster; Van ligase	glycopeptide antibiotic	antibiotic target alteration
gb|AL123456.1|+|2231679-2232219|ARO:3000392|Erm(37)	Erm(37)	3000392	protein homolog model	CARD	CARD curation	no data	no data	Mycobacterium tuberculosis	1	0	1	8.52	46	55.00	*	540	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
gb|BX571965.1|-|2147817-2150949|ARO:3002983|amrB	amrB	3002983	protein homolog model	CARD	CARD curation	no data	no data	Burkholderia pseudomallei	383	0	383	18.71	586	27.80	*	3132	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux
gb|AE004091.2|+|472023-473175|ARO:3000377|MexA	MexA	3000377	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	8	0	8	4.95	57	53.88	*	1152	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic efflux
gb|L25634.1|+|1273-2158|ARO:3003562|blaF	blaF	3003562	protein homolog model	CARD	CARD curation	no data	no data	Mycolicibacterium fortuitum	1	0	1	4.52	40	0.00	*	885	blaF family beta-lactamase	penam	antibiotic inactivation
gb|AY768532.1|+|0-1935|ARO:3000535|macB	macB	3000535	protein homolog model	CARD	CARD curation	no data	no data	Neisseria gonorrhoeae	83	0	83	9.35	181	51.93	*	1935	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
gb|AJ252200.1|+|4493-5894|ARO:3003057|smeF	smeF	3003057	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	3	0	3	6.28	88	60.00	*	1401	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux
gb|D38215.1|+|0-1539|ARO:3002893|tcr3	tcr3	3002893	protein homolog model	CARD	CARD curation	no data	no data	Kitasatospora aureofaciens	22	0	22	9.49	146	44.95	*	1539	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
gb|U09991.1|+|27-1338|ARO:3002700|cmlv	cmlv	3002700	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces venezuelae	1	0	1	10.91	143	60.00	*	1311	chloramphenicol phosphotransferase	phenicol antibiotic	antibiotic inactivation
gb|EU408349.1|+|107-1025|ARO:3002487|LRA-8	LRA-8	3002487	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	2	0	2	3.49	32	60.00	*	918	subclass B3 LRA beta-lactamase	cephalosporin; penam	antibiotic inactivation
gb|U41471.1|+|264-852|ARO:3002524|AAC(2')-Ib	AAC(2')-Ib	3002524	protein homolog model	CARD	CARD curation	no data	no data	Mycolicibacterium fortuitum	2	0	2	5.44	32	60.00	*	588	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
gb|CP000768.1|+|1406494-1409617|ARO:3000784|cmeB	cmeB	3000784	protein homolog model	CARD	CARD curation	no data	no data	Campylobacter jejuni	1	0	1	1.18	37	60.00	*	3123	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; fusidane antibiotic	antibiotic efflux
gb|U56415.1|+|279-1719|ARO:3002884|iri	iri	3002884	protein homolog model	CARD	CARD curation	no data	no data	Rhodococcus hoagii	3	0	3	3.26	47	30.00	*	1440	rifampin monooxygenase	rifamycin antibiotic	antibiotic inactivation
gb|AL123456.1|-|3773015-3773567|ARO:3003035|mfpA	mfpA	3003035	protein homolog model	CARD	CARD curation	no data	no data	Mycobacterium tuberculosis	1	0	1	31.34	173	30.00	*	552	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
gb|GQ149347.1|+|5269-6130|ARO:3001037|TEM-171	TEM-171	3001037	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	29.15	251	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|U57969.1|+|294-1458|ARO:3000800|MexC	MexC	3000800	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	8	0	8	10.74	125	53.50	*	1164	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
gb|U57969.1|+|4622-6062|ARO:3000802|OprJ	OprJ	3000802	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	7	0	7	4.17	60	28.86	*	1440	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
gb|M97297.1|+|3976-4671|ARO:3002919|vanR_in_vanA_cl	vanR gene in vanA cluster	3002919	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecium	2	0	2	43.39	302	60.00	*	696	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
gb|U00096.1|+|2155262-2158385|ARO:3000793|mdtB	mdtB	3000793	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	658	0	658	25.07	783	37.56	*	3123	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
gb|KF478993.1|+|490-1543|ARO:3002948|vanH_in_vanO_cl	vanH gene in vanO cluster	3002948	protein homolog model	CARD	CARD curation	no data	no data	Rhodococcus hoagii	8	0	8	49.57	522	36.50	*	1053	vanH; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
gb|AJ252200.1|+|1278-4401|ARO:3003056|smeE	smeE	3003056	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	196	0	196	24.94	779	18.78	*	3123	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux
gb|X05648.1|+|381-1305|ARO:3002658|APH(6)-Ib	APH(6)-Ib	3002658	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces glaucescens	3	0	3	11.47	106	53.33	*	924	APH(6)	aminoglycoside antibiotic	antibiotic inactivation
gb|M80346.1|+|0-1656|ARO:3002817|carA	carA	3002817	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces thermotolerans	74	0	74	9.78	162	54.68	*	1656	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	macrolide antibiotic	antibiotic target protection
gb|AB116646.1|+|429-903|ARO:3002563|AAC(6')-Isa	AAC(6')-Isa	3002563	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces albulus	3	0	3	17.09	81	30.00	*	474	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
gb|AF079900.1|+|39-1731|ARO:3002892|otr(B)	otr(B)	3002892	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces rimosus	3	0	3	2.48	42	22.00	*	1692	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
gb|KJ151292.1|+|294-2892|ARO:3000444|rphA	rphA	3000444	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces sp.	631	0	631	58.97	1532	43.32	*	2598	rifampin phosphotransferase	rifamycin antibiotic	antibiotic inactivation
gb|EU124663.1|-|32695-34348|ARO:3002881|lmrC	lmrC	3002881	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces lincolnensis	19	0	19	9.56	158	51.74	*	1653	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	lincosamide antibiotic	antibiotic target protection
gb|AY154657.2|+|62-1223|ARO:3000601|Erm(38)	Erm(38)	3000601	protein homolog model	CARD	CARD curation	no data	no data	Mycolicibacterium smegmatis	1	0	1	4.05	47	60.00	*	1161	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
gb|U00096.3|-|481253-484403|ARO:3000216|acrB	acrB	3000216	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	41	0	41	10.29	324	40.46	*	3150	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|AE004091.2|+|2808742-2809987|ARO:3000803|MexE	MexE	3000803	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	6	0	6	9.72	121	57.00	*	1245	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
gb|AF030344.1|-|461-1721|ARO:3000181|tet(V)	tet(V)	3000181	protein homolog model	CARD	CARD curation	no data	no data	Mycolicibacterium smegmatis	3	0	3	22.62	285	46.00	*	1260	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
gb|M97297.1|+|10116-10601|ARO:3002962|vanZ_in_vanA_cl	vanZ gene in vanA cluster	3002962	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecium	1	0	1	18.52	90	60.00	*	486	vanZ; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
gb|AF079138.1|+|153-1122|ARO:3000598|Erm(31)	Erm(31)	3000598	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces venezuelae	1	0	1	3.10	30	21.00	*	969	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration
gb|AE006468.2|-|392419-393931|ARO:3000791|mdsC	mdsC	3000791	protein homolog model	CARD	CARD curation	no data	no data	Salmonella enterica	4	0	4	4.30	65	49.25	*	1512	resistance-nodulation-cell division (RND) antibiotic efflux pump	monobactam; carbapenem; cephalosporin; cephamycin; penam; phenicol antibiotic; penem	antibiotic efflux
gb|AF170880.4|+|0-1848|ARO:3002522|novA	novA	3002522	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces niveus	175	0	175	64.29	1188	44.69	*	1848	ATP-binding cassette (ABC) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
gb|U97042.1|+|1263-4347|ARO:3003010|ceoB	ceoB	3003010	protein homolog model	CARD	CARD curation	no data	no data	Burkholderia cepacia	738	0	738	84.70	2612	37.51	*	3084	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; aminoglycoside antibiotic	antibiotic efflux
gb|KF179354.1|+|0-861|ARO:3002352|GES-23	GES-23	3002352	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	1	0	1	3.60	31	60.00	*	861	GES beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
gb|AF173226.1|+|6913-8329|ARO:3003053|smeC	smeC	3003053	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	9	0	9	3.53	50	45.11	*	1416	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux
gb|JQ064560.1|+|0-1536|ARO:3000448|QepA1	QepA1	3000448	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella aerogenes	4	0	4	6.84	105	0.00	*	1536	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
gb|AF321608.1|+|0-888|ARO:3003561|Sed-1	Sed-1	3003561	protein homolog model	CARD	CARD curation	no data	no data	Citrobacter sedlakii	4	0	4	5.97	53	8.00	*	888	Sed beta-lactamase	cephalosporin; penam	antibiotic inactivation
gb|U00096.1|+|2158385-2161463|ARO:3000794|mdtC	mdtC	3000794	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	36	0	36	9.03	278	31.11	*	3078	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
