Reference Sequence	ARO Term	ARO Accession	Reference Model Type	Reference DB	Reference Allele Source	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Percent Coverage	Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Mate Pair Linkage	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
gb|AY628199.1|+|203-1064|ARO:3000988|TEM-126	TEM-126	3000988	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	3	0	3	44.37	382	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|AF157553.1|+|147-1008|ARO:3000938|TEM-72	TEM-72	3000938	protein homolog model	CARD	CARD curation	no data	no data	Morganella morganii	1	0	1	17.54	151	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|JN848330.1|+|0-1146|ARO:3001832|ACT-10	ACT-10	3001832	protein homolog model	CARD	CARD curation	no data	no data	Serratia marcescens	15	0	15	21.20	243	3.80	*	1146	ACT beta-lactamase	carbapenem; cephalosporin; cephamycin; penam	antibiotic inactivation
gb|EU487198.1|+|216-642|ARO:3002804|FosA2	FosA2	3002804	protein homolog model	CARD	CARD curation	no data	no data	Enterobacter cloacae	56	0	56	100.00	426	57.25	*	426	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
gb|AP009048.1|-|4303042-4304509|ARO:3003550|mdtP	mdtP	3003550	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	2	0	2	20.59	302	60.00	*	1467	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|KC292503.1|+|4334-5195|ARO:3000904|TEM-34	TEM-34	3000904	protein homolog model	CARD	CARD curation	no data	no data	Haemophilus parainfluenzae	1	0	1	17.54	151	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|Z50108.1|+|238-1768|ARO:3003026|fusH	fusH	3003026	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces lividans	1	0	1	2.09	32	60.00	*	1530	fusidic acid inactivation enzyme	fusidane antibiotic	antibiotic inactivation
gb|X65254.1|+|175-1036|ARO:3000887|TEM-16	TEM-16	3000887	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella pneumoniae	1	0	1	11.61	100	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|KM087832.1|+|0-1146|ARO:3001849|ACT-29	ACT-29	3001849	protein homolog model	CARD	CARD curation	no data	no data	Enterobacter asburiae	6	0	6	35.95	412	1.00	*	1146	ACT beta-lactamase	carbapenem; cephalosporin; cephamycin; penam	antibiotic inactivation
gb|AY040093.1|+|68-929|ARO:3000965|TEM-102	TEM-102	3000965	protein homolog model	CARD	CARD curation	no data	no data	Plasmid pWW100	2	0	2	17.65	152	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|U36911.1|+|1429-2290|ARO:3000979|TEM-116	TEM-116	3000979	protein homolog model	CARD	CARD curation	no data	no data	Staphylococcus aureus	46	0	46	88.39	761	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|U95363.2|+|0-861|ARO:3000912|TEM-43	TEM-43	3000912	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella pneumoniae	3	0	3	34.03	293	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|U00096.1|+|3660413-3663527|ARO:3000796|mdtF	mdtF	3000796	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	31	0	31	8.06	251	26.52	*	3114	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux
gb|HQ529916.1|+|110-971|ARO:3001045|TEM-183	TEM-183	3001045	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella pneumoniae	4	0	4	49.13	423	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|X63451.1|+|0-1653|ARO:3002828|srmB	srmB	3002828	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces ambofaciens	22	0	22	2.30	38	18.27	*	1653	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	macrolide antibiotic	antibiotic target protection
gb|AB700703.1|+|161-1022|ARO:3001057|TEM-198	TEM-198	3001057	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella pneumoniae	3	0	3	35.77	308	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|JQ422052.1|+|1099-1930|ARO:3001692|OXA-229	OXA-229	3001692	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter bereziniae	2	0	2	29.96	249	0.50	*	831	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
gb|BA000007.3|-|4903688-4905062|ARO:3000830|cpxA	cpxA	3000830	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	336	0	336	68.70	944	40.89	*	1374	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux
gb|CT025801.2|+|0-3180|ARO:3000777|adeF	adeF	3000777	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	1111	0	1111	99.94	3178	56.55	*	3180	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux
gb|DQ823382.1|+|0-1569|ARO:3002830|vgaALC	vgaALC	3002830	protein homolog model	CARD	CARD curation	no data	no data	Staphylococcus haemolyticus	2	0	2	9.82	154	0.00	*	1569	vga-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic	antibiotic target protection
gb|KF986257.1|+|20-845|ARO:3001562|OXA-376	OXA-376	3001562	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	4	0	4	18.30	151	9.00	*	825	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
gb|KP143090.1|-|1199-1619|ARO:3003209|fosA5	fosA5	3003209	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	6	0	6	82.38	346	18.17	*	420	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
gb|X59968.1|+|507-1686|ARO:3002690|Sliv_cmlR	Streptomyces lividans cmlR	3002690	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces lividans	1	0	1	4.75	56	28.00	*	1179	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
gb|AF190693.1|+|208-1069|ARO:3000944|TEM-78	TEM-78	3000944	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	4	0	4	50.52	435	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|HM440348.1|+|775-1861|ARO:3000549|adeS	adeS	3000549	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	117	0	117	65.19	708	38.03	*	1086	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline; tetracycline antibiotic	antibiotic efflux
gb|AY853593.1|+|214-1075|ARO:3001002|TEM-138	TEM-138	3001002	protein homolog model	CARD	CARD curation	no data	no data	Salmonella enterica	2	0	2	28.11	242	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|V01499.1|+|230-1256|ARO:3002655|APH(4)-Ia	APH(4)-Ia	3002655	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	2	0	2	18.81	193	60.00	*	1026	APH(4)	aminoglycoside antibiotic	antibiotic inactivation
gb|KC783461.1|+|0-861|ARO:3001383|TEM-206	TEM-206	3001383	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	3	0	3	43.79	377	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|AF143804.1|+|0-861|ARO:3000959|TEM-92	TEM-92	3000959	protein homolog model	CARD	CARD curation	no data	no data	Proteus mirabilis	1	0	1	11.73	101	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|EF653400.1|+|434-1259|ARO:3001644|OXA-113	OXA-113	3001644	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	2	0	2	17.45	144	0.00	*	825	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
gb|AE006468.2|-|2039654-2040377|ARO:3000826|sdiA	sdiA	3000826	protein homolog model	CARD	CARD curation	no data	no data	Salmonella enterica	6	0	6	17.98	130	32.17	*	723	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|GQ853681.1|+|0-825|ARO:3001455|OXA-150	OXA-150	3001455	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	2	0	2	9.94	82	0.00	*	825	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
gb|AJ488303.1|+|0-810|ARO:3001770|OXA-43	OXA-43	3001770	protein homolog model	CARD	CARD curation	no data	no data	Burkholderia pseudomallei	9	0	9	5.80	47	0.00	*	810	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
gb|AM850910.2|+|0-861|ARO:3002467|LEN-20	LEN-20	3002467	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella pneumoniae	1	0	1	15.80	136	0.00	*	861	LEN beta-lactamase	penam; penem	antibiotic inactivation
gb|AB049569.1|+|0-861|ARO:3000958|TEM-91	TEM-91	3000958	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	6	0	6	43.90	378	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|AJ252200.1|+|81-1266|ARO:3003055|smeD	smeD	3003055	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	27	0	27	45.06	534	58.70	*	1185	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux
gb|AY874537.1|+|177-1038|ARO:3000883|TEM-11	TEM-11	3000883	protein homolog model	CARD	CARD curation	no data	no data	Proteus mirabilis	1	0	1	17.54	151	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|AF091113.2|+|450-1311|ARO:3000934|TEM-67	TEM-67	3000934	protein homolog model	CARD	CARD curation	no data	no data	Proteus mirabilis	1	0	1	12.54	108	60.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|BX664015.1|-|103017-103833|ARO:3002641|APH(3')-Ia	APH(3')-Ia	3002641	protein homolog model	CARD	CARD curation	no data	no data	Serratia marcescens	1	0	1	18.50	151	60.00	*	816	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
gb|Y14574.2|+|0-861|ARO:3000888|TEM-17	TEM-17	3000888	protein homolog model	CARD	CARD curation	no data	no data	Capnocytophaga ochracea	2	0	2	23.11	199	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|KC818234.1|+|0-861|ARO:3001384|TEM-207	TEM-207	3001384	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	14.17	122	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
