#
#,Current,dir:,/home/gotting/jgi
#,Date:,Thu,Jul,14,14:11:26,2022
#,Pipeline,mode:,SCAN
#,Program:,cmscan
#,Query,file:,MycgoeldiiGarden/89861.assembled.fna
#,Target,file:,/home/gotting/db/Rfam.cm
#,Version:,1.1.2,(July,2016)
#,[ok]
#---,--------------------,---------,--------------------,---------,---------,---,--------,--------,--------,--------,------,-----,----,----,-----,------,---------,---,---,------,------,------,------,------,------,---------------------
#idx,target,name,accession,query,name,accession,clan,name,mdl,mdl,from,mdl,to,seq,from,seq,to,strand,trunc,pass,gc,bias,score,E-value,inc,olp,anyidx,afrct1,afrct2,winidx,wfrct1,wfrct2,description,of,target
1,abiF,RF03085,Ga0131695_1137429,-,-,cm,7,37,1,31,+,5',2,0.42,0.0,43.1,9.1e-05,!,*,-,-,-,-,-,-,abiF,RNA
1,RpsF_leader,RF02893,Ga0131695_1053871,-,-,cm,43,85,1,43,+,5',2,0.49,0.0,51.7,7.9e-09,!,*,-,-,-,-,-,-,RpsF,leader
1,tRNA,RF00005,Ga0131695_1059660,-,CL00001,cm,29,71,1,44,+,5',2,0.57,0.0,29.6,0.02,!,*,-,-,-,-,-,-,tRNA
1,tRNA,RF00005,Ga0131695_1075510,-,CL00001,cm,27,71,1,46,+,5',2,0.65,0.0,30.0,0.016,!,*,-,-,-,-,-,-,tRNA
1,tRNA,RF00005,Ga0131695_1006859,-,CL00001,cm,26,71,1,47,+,5',2,0.51,0.0,31.0,0.0081,!,*,-,-,-,-,-,-,tRNA
2,tRNA,RF00005,Ga0131695_1026078,-,CL00001,cm,25,71,1,48,+,5',2,0.62,0.0,33.4,0.0017,!,*,-,-,-,-,-,-,tRNA
1,tRNA,RF00005,Ga0131695_1113271,-,CL00001,cm,24,71,1,49,+,5',2,0.55,0.0,36.4,0.00025,!,*,-,-,-,-,-,-,tRNA
1,tRNA,RF00005,Ga0131695_1139339,-,CL00001,cm,23,71,1,50,+,5',2,0.60,0.0,29.9,0.016,!,*,-,-,-,-,-,-,tRNA
1,tRNA,RF00005,Ga0131695_1116633,-,CL00001,cm,22,71,1,51,+,5',2,0.53,0.0,30.9,0.0086,!,*,-,-,-,-,-,-,tRNA
1,tRNA,RF00005,Ga0131695_1058339,-,CL00001,cm,21,71,1,52,+,5',2,0.62,0.0,31.0,0.0083,!,*,-,-,-,-,-,-,tRNA
1,tRNA,RF00005,Ga0131695_1133314,-,CL00001,cm,21,71,1,52,+,5',2,0.54,0.0,35.4,0.00048,!,*,-,-,-,-,-,-,tRNA
2,tRNA,RF00005,Ga0131695_1135727,-,CL00001,cm,20,71,1,52,+,5',2,0.60,0.0,33.3,0.0018,!,*,-,-,-,-,-,-,tRNA
